,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,24.5,0.5,15.5,0.87,26.0,2.74,bending2
1,250,25.0,0.0,13.5,3.64,33.5,2.6,bending2
2,500,26.0,0.71,14.25,3.9,18.5,13.61,bending2
3,750,24.33,0.47,15.67,2.62,25.5,3.64,bending2
4,1000,23.5,0.87,16.25,1.3,23.0,1.22,bending2
5,1250,23.5,0.5,17.75,0.43,22.5,1.5,bending2
6,1500,21.75,0.83,16.75,0.43,21.75,6.65,bending2
7,1750,21.75,0.43,14.0,2.55,24.25,5.76,bending2
8,2000,21.25,0.43,17.5,1.5,18.25,2.17,bending2
9,2250,21.25,0.43,19.5,2.06,21.5,2.06,bending2
10,2500,21.0,0.0,19.75,0.43,18.25,0.83,bending2
11,2750,21.25,0.43,17.5,1.8,20.75,4.44,bending2
12,3000,23.0,0.71,16.25,1.79,23.25,2.49,bending2
13,3250,23.25,0.43,18.0,0.0,22.0,0.71,bending2
14,3500,23.75,0.43,18.0,0.0,21.0,0.0,bending2
15,3750,24.0,0.0,18.0,0.0,20.75,0.43,bending2
16,4000,24.0,0.0,18.0,0.0,21.4,0.49,bending2
17,4250,24.0,0.0,18.0,0.0,21.0,0.82,bending2
18,4500,24.0,0.0,14.25,1.92,24.67,1.7,bending2
19,4750,23.6,0.49,16.25,2.49,30.2,0.4,bending2
20,5000,23.67,0.47,12.0,0.71,28.0,1.41,bending2
21,5250,23.33,0.47,12.33,0.47,29.75,0.43,bending2
22,5500,24.0,0.0,13.0,0.71,29.75,0.43,bending2
23,5750,24.0,0.0,14.75,0.43,29.0,0.71,bending2
24,6000,24.0,0.0,13.75,0.83,30.0,0.0,bending2
25,6250,24.0,0.0,12.25,0.43,29.5,0.5,bending2
26,6500,24.0,0.0,11.25,0.43,28.0,0.71,bending2
27,6750,24.25,0.43,11.75,0.43,26.25,3.03,bending2
28,7000,24.25,0.43,16.33,0.47,21.33,0.47,bending2
29,7250,24.25,0.43,12.25,0.43,28.0,2.74,bending2
30,7500,24.33,0.47,12.75,1.09,23.0,1.41,bending2
31,7750,24.0,0.0,14.33,0.47,27.0,0.0,bending2
32,8000,24.75,0.83,14.5,1.5,27.25,1.09,bending2
33,8250,25.5,0.5,11.75,1.09,27.75,1.92,bending2
34,8500,25.75,0.43,14.75,0.43,18.0,3.74,bending2
35,8750,25.5,0.5,15.0,1.41,19.5,2.69,bending2
36,9000,25.25,0.83,18.0,0.0,22.5,1.12,bending2
37,9250,25.5,0.5,16.75,1.3,18.0,2.12,bending2
38,9500,25.75,0.43,17.33,0.94,19.67,2.36,bending2
39,9750,24.75,0.43,13.75,1.3,26.0,1.58,bending2
40,10000,25.0,0.82,13.5,1.5,29.67,0.47,bending2
41,10250,26.0,1.0,13.0,1.0,29.33,1.7,bending2
42,10500,25.8,0.4,6.4,3.83,32.5,2.06,bending2
43,10750,25.5,0.5,13.0,1.22,31.0,3.67,bending2
44,11000,26.0,0.82,13.0,0.82,29.25,3.34,bending2
45,11250,25.5,1.12,8.75,3.34,25.5,1.5,bending2
46,11500,25.75,0.43,7.25,0.83,20.75,6.02,bending2
47,11750,25.0,0.0,7.33,3.4,18.5,4.15,bending2
48,12000,24.5,0.5,12.25,0.43,27.0,1.22,bending2
49,12250,24.5,0.5,12.0,0.0,30.0,0.0,bending2
50,12500,24.25,0.43,12.75,0.43,30.25,0.43,bending2
51,12750,24.25,0.43,13.75,0.43,30.75,0.43,bending2
52,13000,24.0,0.0,13.75,0.43,31.75,0.43,bending2
53,13250,24.0,0.0,14.0,0.0,32.0,0.0,bending2
54,13500,24.0,0.0,14.5,0.5,31.33,0.94,bending2
55,13750,24.0,0.0,13.67,0.47,27.0,2.12,bending2
56,14000,24.0,0.0,14.25,0.43,25.5,1.5,bending2
57,14250,24.75,0.83,15.75,0.43,17.75,2.05,bending2
58,14500,24.5,0.5,16.0,0.71,24.0,4.24,bending2
59,14750,24.25,0.43,7.75,5.89,25.5,3.64,bending2
60,15000,24.25,0.43,13.0,1.22,26.5,0.5,bending2
61,15250,25.25,0.83,11.75,0.83,30.5,1.12,bending2
62,15500,26.0,0.71,9.25,1.64,29.25,0.83,bending2
63,15750,25.25,0.83,12.33,2.62,27.33,2.05,bending2
64,16000,24.0,0.0,15.25,0.43,29.0,0.82,bending2
