,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,40.25,1.48,15.5,3.91,20.0,1.22,cycling
1,250,42.25,0.43,15.33,2.49,16.0,1.63,cycling
2,500,35.25,4.44,14.0,4.32,17.25,4.82,cycling
3,750,33.75,2.49,19.5,2.06,18.25,1.79,cycling
4,1000,35.0,3.16,18.75,5.67,15.0,2.12,cycling
5,1250,31.0,2.0,14.67,2.05,18.33,2.87,cycling
6,1500,39.25,0.43,13.0,3.81,18.5,3.35,cycling
7,1750,42.5,1.12,13.67,2.87,19.0,1.22,cycling
8,2000,38.33,4.5,10.67,2.05,14.75,2.49,cycling
9,2250,34.25,3.03,19.75,1.64,18.5,1.8,cycling
10,2500,35.0,2.74,18.5,0.87,11.25,5.36,cycling
11,2750,32.25,5.26,12.75,5.76,17.0,3.54,cycling
12,3000,38.67,2.49,15.0,2.16,19.0,2.12,cycling
13,3250,42.5,1.8,12.0,4.32,18.0,5.79,cycling
14,3500,34.25,5.21,16.25,4.44,17.0,1.22,cycling
15,3750,36.25,0.43,19.75,1.3,11.75,1.09,cycling
16,4000,36.75,2.49,16.5,1.5,10.75,3.49,cycling
17,4250,33.5,4.5,12.67,4.11,15.33,4.5,cycling
18,4500,40.5,1.12,12.5,4.82,18.5,2.18,cycling
19,4750,42.25,0.83,11.5,1.5,13.75,6.61,cycling
20,5000,35.75,2.95,19.0,1.0,20.0,2.0,cycling
21,5250,35.33,0.94,18.5,0.5,16.33,0.94,cycling
22,5500,34.33,3.4,18.0,2.16,13.0,1.87,cycling
23,5750,30.0,4.24,15.5,2.5,20.0,0.82,cycling
24,6000,38.75,2.17,13.5,5.02,19.25,1.48,cycling
25,6250,42.75,0.43,12.25,2.68,18.25,1.92,cycling
26,6500,38.75,5.63,12.0,1.41,8.75,3.63,cycling
27,6750,34.5,1.5,21.0,3.0,19.0,1.41,cycling
28,7000,32.25,4.44,18.5,5.94,14.25,2.38,cycling
29,7250,34.67,3.09,16.75,3.03,16.5,1.5,cycling
30,7500,41.5,1.5,15.5,2.5,18.33,0.47,cycling
31,7750,42.5,0.87,11.33,4.5,8.0,4.55,cycling
32,8000,35.0,4.06,9.75,3.96,13.75,8.26,cycling
33,8250,34.0,1.41,19.5,2.06,19.33,1.25,cycling
34,8500,34.0,2.83,18.0,3.74,15.5,2.18,cycling
35,8750,34.5,4.5,12.0,0.0,15.33,2.49,cycling
36,9000,40.25,1.3,13.5,3.35,14.25,0.83,cycling
37,9250,43.25,1.3,13.5,5.41,17.75,1.64,cycling
38,9500,38.75,4.09,12.25,2.95,20.0,3.94,cycling
39,9750,33.75,1.3,13.25,2.17,17.5,3.84,cycling
40,10000,35.25,2.49,16.0,6.12,12.5,2.87,cycling
41,10250,32.0,3.74,7.0,4.32,16.0,1.0,cycling
42,10500,38.75,2.05,14.0,2.83,13.0,1.41,cycling
43,10750,41.5,1.8,17.5,2.06,16.67,1.25,cycling
44,11000,41.0,2.24,11.75,6.14,19.25,2.38,cycling
45,11250,35.75,1.79,11.5,2.6,20.75,1.64,cycling
46,11500,33.75,3.9,15.5,3.04,15.0,5.34,cycling
47,11750,32.75,7.36,12.5,1.66,17.5,2.18,cycling
48,12000,38.5,2.29,14.67,1.25,14.0,2.83,cycling
49,12250,42.0,1.87,15.25,2.59,18.25,1.92,cycling
50,12500,35.67,4.5,14.0,3.0,15.0,2.16,cycling
51,12750,36.33,2.49,11.67,2.05,19.0,3.54,cycling
52,13000,33.0,0.0,21.67,1.89,14.75,3.7,cycling
53,13250,36.0,2.83,11.0,4.55,15.75,1.3,cycling
54,13500,38.25,1.3,15.25,2.86,13.25,7.82,cycling
55,13750,42.75,1.64,11.5,2.69,18.0,1.41,cycling
56,14000,42.75,1.3,14.5,3.2,13.25,3.11,cycling
57,14250,33.75,5.76,14.5,2.29,18.0,2.12,cycling
58,14500,30.75,3.27,15.5,4.27,18.5,7.4,cycling
59,14750,32.75,5.63,20.25,2.38,15.25,4.71,cycling
60,15000,36.25,3.63,9.25,3.77,18.25,4.09,cycling
61,15250,40.5,1.12,16.75,3.11,16.75,1.09,cycling
62,15500,39.0,5.39,14.67,4.71,10.67,4.99,cycling
63,15750,34.25,3.03,12.75,2.59,11.5,7.83,cycling
64,16000,31.5,2.5,13.0,3.56,20.33,3.86,cycling
65,16250,33.5,6.68,10.6,6.18,15.4,2.87,cycling
66,16500,36.33,0.47,12.0,3.08,17.0,3.74,cycling
67,16750,40.5,1.12,13.75,2.77,13.25,2.77,cycling
68,17000,38.33,1.7,18.67,3.3,13.25,5.12,cycling
69,17250,35.5,1.5,12.75,4.49,17.75,3.49,cycling
70,17500,34.75,2.38,16.5,1.66,13.0,4.06,cycling
71,17750,35.5,2.87,8.5,2.29,16.25,1.79,cycling
72,18000,40.0,1.22,17.5,1.5,14.33,1.25,cycling
73,18250,42.25,0.83,17.25,1.48,12.75,1.3,cycling
74,18500,34.75,5.4,11.25,3.9,19.0,2.12,cycling
75,18750,36.0,0.0,14.25,1.3,21.0,0.0,cycling
76,19000,36.25,2.49,14.5,5.12,14.0,4.47,cycling
77,19250,29.75,4.6,11.67,0.47,17.0,2.55,cycling
78,19500,39.25,1.64,13.33,1.89,15.5,2.6,cycling
79,19750,42.0,0.82,19.5,2.18,20.0,2.16,cycling
80,20000,36.25,5.45,14.0,3.67,17.25,2.68,cycling
81,20250,36.0,0.0,20.0,0.82,18.75,2.49,cycling
