,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,48.0,0.0,9.0,0.0,9.25,0.43,lying
1,250,48.0,0.0,9.0,0.0,9.5,0.5,lying
2,500,48.0,0.0,10.0,0.71,10.0,0.71,lying
3,750,48.0,0.0,9.5,0.5,9.5,0.5,lying
4,1000,48.0,0.0,10.0,0.0,10.0,1.0,lying
5,1250,48.0,0.0,9.75,0.43,9.75,0.83,lying
6,1500,48.0,0.0,9.25,0.43,10.0,0.71,lying
7,1750,48.0,0.0,9.25,0.43,9.5,0.5,lying
8,2000,48.0,0.0,9.0,0.0,9.5,0.5,lying
9,2250,48.0,0.0,9.0,0.0,10.0,0.71,lying
10,2500,48.0,0.0,9.0,0.0,9.75,0.43,lying
11,2750,48.0,0.0,9.0,0.0,9.67,0.47,lying
12,3000,48.0,0.0,8.5,0.5,9.25,0.43,lying
13,3250,48.0,0.0,8.5,0.5,9.67,0.47,lying
14,3500,48.25,0.43,9.0,0.0,9.25,0.43,lying
15,3750,48.0,0.0,8.33,0.47,9.75,0.43,lying
16,4000,48.0,0.0,9.0,0.0,9.0,0.0,lying
17,4250,48.0,0.0,9.0,0.0,8.75,0.43,lying
18,4500,48.0,0.0,8.75,0.43,9.0,0.0,lying
19,4750,48.0,0.0,9.0,0.0,9.25,0.43,lying
20,5000,48.0,0.0,9.0,0.0,9.5,0.87,lying
21,5250,48.0,0.0,8.75,0.43,9.25,0.43,lying
22,5500,48.0,0.0,9.0,0.0,9.25,0.43,lying
23,5750,48.0,0.0,9.0,0.0,9.0,0.0,lying
24,6000,48.0,0.0,9.0,0.0,9.0,0.0,lying
25,6250,48.0,0.0,9.0,0.0,9.33,0.47,lying
26,6500,48.0,0.0,8.25,0.43,9.25,0.43,lying
27,6750,48.0,0.0,8.25,0.43,9.2,0.4,lying
28,7000,48.0,0.0,8.75,0.43,9.33,0.47,lying
29,7250,48.0,0.0,9.0,0.0,9.75,0.83,lying
30,7500,48.0,0.0,9.0,0.0,9.0,0.0,lying
31,7750,48.0,0.0,9.0,0.0,9.5,0.5,lying
32,8000,48.0,0.0,9.0,0.0,9.75,0.83,lying
33,8250,48.0,0.0,8.25,0.43,9.75,0.83,lying
34,8500,48.0,0.0,8.25,0.43,9.25,0.43,lying
35,8750,48.0,0.0,7.75,0.43,9.0,0.0,lying
36,9000,48.0,0.0,8.75,0.43,9.5,0.87,lying
37,9250,48.0,0.0,8.0,0.0,9.33,0.47,lying
38,9500,48.0,0.0,8.0,0.0,9.25,0.43,lying
39,9750,48.0,0.0,7.0,0.0,9.5,0.5,lying
40,10000,48.0,0.0,7.0,1.87,10.0,1.0,lying
41,10250,48.0,0.0,3.67,2.49,8.75,0.43,lying
42,10500,48.0,0.0,4.33,0.94,9.0,0.0,lying
43,10750,48.0,0.0,5.25,0.43,9.0,0.0,lying
44,11000,48.0,0.0,4.75,0.43,8.5,0.5,lying
45,11250,48.0,0.0,2.5,0.5,8.5,0.5,lying
46,11500,48.0,0.0,3.0,0.82,8.33,0.47,lying
47,11750,48.0,0.0,2.5,1.12,8.67,0.47,lying
48,12000,48.0,0.0,4.5,2.06,7.4,0.49,lying
49,12250,48.0,0.0,9.0,0.0,7.0,0.82,lying
50,12500,48.25,0.43,8.75,0.43,6.5,0.5,lying
51,12750,48.0,0.0,7.67,0.47,6.25,1.09,lying
52,13000,48.0,0.0,9.0,0.0,7.0,0.71,lying
53,13250,48.0,0.0,9.0,0.0,7.25,0.83,lying
54,13500,48.0,0.0,7.25,1.3,8.0,0.82,lying
55,13750,48.0,0.0,6.0,0.0,8.25,0.83,lying
56,14000,48.0,0.0,8.25,0.83,9.0,0.0,lying
57,14250,48.0,0.0,7.0,1.22,7.25,0.83,lying
58,14500,48.0,0.0,6.0,0.0,6.25,0.43,lying
59,14750,48.0,0.0,6.0,0.0,6.75,0.83,lying
60,15000,48.0,0.0,5.75,0.43,6.75,0.83,lying
61,15250,48.0,0.0,5.0,0.0,6.33,0.47,lying
62,15500,48.0,0.0,6.25,0.43,6.67,0.94,lying
63,15750,48.0,0.0,6.25,0.43,6.67,0.47,lying
64,16000,48.0,0.0,6.0,0.0,6.33,0.47,lying
65,16250,48.0,0.0,5.5,0.5,6.25,0.43,lying
66,16500,48.0,0.0,6.33,0.47,4.75,0.83,lying
67,16750,48.0,0.0,1.0,0.0,3.5,2.5,lying
68,17000,48.0,0.0,5.0,2.16,7.5,0.5,lying
69,17250,48.0,0.0,10.75,1.64,4.5,1.12,lying
70,17500,48.0,0.0,9.0,2.0,3.0,2.16,lying
71,17750,48.0,0.0,6.5,3.04,5.33,3.09,lying
72,18000,48.0,0.0,8.75,2.17,8.0,0.82,lying
73,18250,48.0,0.0,7.0,2.12,6.0,0.0,lying
74,18500,48.0,0.0,6.5,1.5,0.0,0.0,lying
75,18750,48.0,0.0,9.33,0.47,1.0,0.0,lying
76,19000,48.0,0.0,9.0,0.0,5.0,0.0,lying
77,19250,48.0,0.0,9.0,0.0,0.0,0.0,lying
78,19500,48.0,0.0,6.75,2.77,4.0,0.0,lying
79,19750,48.0,0.0,5.0,1.0,5.0,0.0,lying
80,20000,48.0,0.0,7.25,1.3,3.75,0.83,lying
81,20250,48.0,0.0,3.75,3.11,5.0,1.58,lying
82,20500,48.0,0.0,8.75,0.43,5.75,0.43,lying
83,20750,48.0,0.0,9.67,0.94,6.33,0.94,lying
84,21000,48.0,0.0,11.75,0.43,8.67,0.47,lying
85,21250,48.0,0.0,12.0,0.0,8.75,0.43,lying
86,21500,48.0,0.0,7.5,0.87,6.75,2.28,lying
87,21750,48.0,0.0,5.67,0.47,8.75,0.43,lying
88,22000,48.0,0.0,4.75,1.09,8.25,0.83,lying
89,22250,48.0,0.0,0.0,0.0,9.75,1.3,lying
90,22500,48.0,0.0,2.0,0.0,10.5,1.12,lying
91,22750,48.0,0.0,1.0,0.0,9.75,0.83,lying
92,23000,48.0,0.0,0.0,0.0,7.5,0.87,lying
93,23250,48.0,0.0,1.0,0.0,8.0,0.71,lying
94,23500,48.0,0.0,0.0,0.0,8.67,0.47,lying
95,23750,48.0,0.0,0.0,0.0,8.75,0.43,lying
96,24000,48.0,0.0,5.0,1.41,11.33,0.47,lying
97,24250,48.33,0.47,6.0,0.0,11.75,0.43,lying
98,24500,48.0,0.0,5.75,0.43,10.75,0.83,lying
99,24750,48.0,0.0,7.25,0.43,10.0,1.0,lying
100,25000,48.0,0.0,7.75,0.43,10.25,1.3,lying
101,25250,48.0,0.0,8.5,0.5,10.0,1.0,lying
102,25500,48.0,0.0,7.75,0.43,10.5,0.5,lying
103,25750,48.0,0.0,7.75,0.43,10.25,0.83,lying
104,26000,48.0,0.0,8.0,0.0,10.33,0.47,lying
105,26250,48.0,0.0,8.0,0.0,10.5,0.5,lying
106,26500,48.0,0.0,7.5,0.5,10.0,1.0,lying
107,26750,48.0,0.0,7.67,0.47,9.67,0.94,lying
108,27000,48.0,0.0,6.0,0.0,10.0,1.0,lying
109,27250,48.0,0.0,2.67,1.25,9.0,0.0,lying
110,27500,48.0,0.0,2.75,0.43,9.0,0.0,lying
111,27750,48.0,0.0,2.75,0.43,10.33,1.25,lying
112,28000,48.0,0.0,4.33,0.47,10.0,0.71,lying
113,28250,48.0,0.0,5.0,0.0,10.75,0.83,lying
114,28500,48.0,0.0,5.25,0.43,10.5,0.5,lying
115,28750,48.0,0.0,5.75,0.43,11.25,0.83,lying
116,29000,48.0,0.0,5.5,0.5,11.0,1.0,lying
117,29250,48.0,0.0,6.0,0.0,11.25,0.83,lying
118,29500,48.0,0.0,6.0,0.0,10.0,0.82,lying
119,29750,48.0,0.0,6.33,0.47,10.0,0.82,lying
120,30000,48.0,0.0,7.5,0.5,9.25,0.43,lying
121,30250,48.0,0.0,8.0,0.0,9.33,0.47,lying
122,30500,48.0,0.0,8.0,0.0,9.0,0.0,lying
123,30750,48.0,0.0,8.0,0.0,9.33,0.47,lying
124,31000,48.0,0.0,8.75,0.43,9.25,0.43,lying
125,31250,48.0,0.0,10.33,0.47,9.5,0.5,lying
126,31500,48.0,0.0,10.0,0.71,9.0,0.0,lying
127,31750,48.0,0.0,7.5,0.87,9.0,0.0,lying
