,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,42.0,0.0,21.0,0.0,15.0,1.0,sitting
1,250,42.0,0.0,21.0,0.0,18.0,0.0,sitting
2,500,42.0,0.0,20.75,0.43,17.75,0.43,sitting
3,750,42.0,0.0,20.25,0.43,18.25,1.09,sitting
4,1000,42.0,0.0,20.0,0.0,18.0,0.0,sitting
5,1250,42.0,0.0,20.8,0.4,18.5,0.5,sitting
6,1500,42.0,0.0,21.0,0.0,18.25,1.09,sitting
7,1750,42.0,0.0,20.25,0.43,18.5,0.5,sitting
8,2000,42.0,0.0,21.25,0.43,19.25,0.83,sitting
9,2250,42.0,0.0,21.0,0.0,17.0,1.41,sitting
10,2500,42.0,0.0,20.75,0.43,18.25,0.43,sitting
11,2750,42.0,0.0,20.75,0.43,19.0,1.0,sitting
12,3000,42.0,0.0,20.0,0.0,18.0,0.0,sitting
13,3250,42.0,0.0,20.6,0.49,18.2,0.98,sitting
14,3500,42.0,0.0,20.75,0.43,18.75,0.83,sitting
15,3750,42.0,0.0,20.67,0.47,20.0,0.82,sitting
16,4000,42.0,0.0,20.75,0.43,18.75,1.48,sitting
17,4250,42.0,0.0,21.0,0.0,17.33,0.47,sitting
18,4500,42.0,0.0,21.0,0.0,15.67,0.47,sitting
19,4750,42.0,0.0,19.0,1.22,17.0,1.41,sitting
20,5000,42.0,0.0,18.0,0.0,17.0,0.71,sitting
21,5250,42.0,0.0,18.0,0.0,18.25,0.83,sitting
22,5500,42.0,0.0,18.0,0.0,17.75,0.43,sitting
23,5750,42.0,0.0,18.0,0.0,16.67,0.47,sitting
24,6000,42.0,0.0,18.0,0.0,16.67,1.7,sitting
25,6250,42.0,0.0,18.0,0.0,17.75,0.43,sitting
26,6500,42.0,0.0,18.0,0.0,18.25,0.43,sitting
27,6750,42.0,0.0,17.33,0.47,18.0,0.0,sitting
28,7000,42.0,0.0,18.25,0.43,19.25,0.83,sitting
29,7250,42.0,0.0,20.25,0.43,19.5,1.12,sitting
30,7500,42.0,0.0,20.25,1.3,17.25,1.3,sitting
31,7750,42.0,0.0,21.0,0.0,18.5,0.5,sitting
32,8000,42.0,0.0,20.75,0.43,17.25,0.83,sitting
33,8250,42.0,0.0,19.0,0.0,16.33,0.94,sitting
34,8500,42.0,0.0,17.33,0.47,15.5,2.29,sitting
35,8750,42.0,0.0,17.25,0.83,21.25,1.92,sitting
