,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,46.5,0.5,11.5,0.5,20.33,0.94,standing
1,250,46.5,0.5,12.0,0.0,20.25,0.43,standing
2,500,46.5,0.5,12.0,0.0,20.5,0.5,standing
3,750,46.5,0.5,12.75,0.43,19.5,0.5,standing
4,1000,46.5,0.5,13.25,0.43,18.75,0.43,standing
5,1250,46.5,0.5,13.5,0.5,19.0,1.0,standing
6,1500,46.5,0.5,13.25,0.43,19.0,0.71,standing
7,1750,46.67,0.47,12.25,0.43,19.67,0.47,standing
8,2000,46.5,0.5,12.0,0.0,19.5,0.5,standing
9,2250,46.5,0.5,12.0,0.0,19.33,1.25,standing
10,2500,46.5,0.5,12.0,0.0,20.0,0.82,standing
11,2750,46.5,0.5,11.25,0.43,20.0,0.0,standing
12,3000,46.67,0.47,11.0,0.0,20.33,0.47,standing
13,3250,46.0,0.63,10.75,0.43,20.2,0.75,standing
14,3500,46.67,0.47,11.0,0.0,20.67,0.47,standing
15,3750,46.5,0.5,11.5,0.5,20.5,0.5,standing
16,4000,46.33,0.47,12.0,0.0,20.5,0.5,standing
17,4250,46.5,0.5,12.0,0.0,20.25,0.43,standing
18,4500,46.25,0.43,12.0,0.0,20.25,0.83,standing
19,4750,46.0,0.0,12.0,0.0,20.25,0.43,standing
20,5000,46.5,0.5,12.0,0.0,18.33,0.47,standing
21,5250,46.5,0.5,13.25,0.83,17.5,0.5,standing
22,5500,46.5,0.5,13.25,0.83,13.5,1.5,standing
23,5750,46.5,0.5,12.0,0.0,11.0,1.41,standing
24,6000,46.5,0.5,11.0,0.0,10.25,1.48,standing
25,6250,46.67,0.47,11.0,0.82,14.75,0.83,standing
26,6500,46.25,0.83,16.33,1.25,20.0,1.41,standing
27,6750,46.25,0.83,18.25,0.43,19.75,1.3,standing
28,7000,46.0,0.82,18.75,0.43,18.67,0.94,standing
29,7250,46.5,0.5,18.0,0.71,21.0,0.71,standing
30,7500,46.4,0.49,12.0,1.87,19.4,1.36,standing
31,7750,46.75,0.43,11.75,0.43,16.25,2.05,standing
32,8000,47.0,0.0,12.0,0.0,13.0,0.0,standing
