,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,44.5,0.5,15.0,0.71,9.25,0.43,standing
1,250,44.75,0.43,13.0,0.71,11.25,0.83,standing
2,500,41.33,0.94,15.33,0.47,11.0,1.22,standing
3,750,39.5,0.87,16.75,1.09,10.0,1.58,standing
4,1000,39.25,0.43,15.75,2.49,15.25,2.17,standing
5,1250,39.0,0.0,16.75,2.59,15.0,2.12,standing
6,1500,39.5,0.5,21.25,1.09,15.75,3.27,standing
7,1750,38.5,0.87,24.0,0.0,22.0,0.71,standing
8,2000,37.0,1.0,24.0,0.0,21.0,0.0,standing
9,2250,37.5,0.5,21.25,0.43,18.75,2.49,standing
10,2500,37.67,1.25,18.5,1.5,7.33,4.11,standing
11,2750,37.0,1.0,19.75,0.83,9.25,3.9,standing
12,3000,36.67,0.94,17.0,1.41,11.0,1.63,standing
13,3250,37.0,1.0,15.33,0.47,13.67,0.94,standing
14,3500,37.0,1.0,14.67,0.47,12.67,0.47,standing
15,3750,37.25,0.83,16.0,1.22,10.0,0.71,standing
16,4000,38.0,1.0,17.75,0.43,6.0,3.08,standing
17,4250,38.0,1.0,17.25,0.83,6.0,0.0,standing
18,4500,38.25,0.83,18.0,0.0,5.67,1.7,standing
19,4750,36.67,0.94,18.0,0.0,7.33,1.25,standing
20,5000,36.75,0.83,17.6,1.02,11.2,0.75,standing
21,5250,36.75,0.83,17.0,0.82,11.33,0.47,standing
22,5500,38.5,0.5,17.6,0.49,7.8,1.6,standing
23,5750,40.25,1.3,16.5,0.87,6.75,2.28,standing
24,6000,41.25,1.3,16.25,0.43,9.0,0.71,standing
25,6250,38.0,1.0,15.5,0.5,4.5,1.5,standing
26,6500,37.67,1.25,17.25,0.83,2.0,0.0,standing
27,6750,37.0,1.0,16.25,1.3,4.25,1.79,standing
28,7000,37.25,0.83,15.25,0.43,5.5,0.5,standing
29,7250,37.5,1.12,13.5,1.5,3.0,1.87,standing
30,7500,37.33,0.47,13.33,0.94,5.67,2.05,standing
31,7750,37.25,0.83,14.5,0.87,7.75,1.09,standing
32,8000,37.0,1.0,16.25,0.83,6.5,0.5,standing
33,8250,38.25,0.83,14.0,0.82,8.33,1.7,standing
34,8500,38.5,0.5,15.0,0.71,5.75,1.3,standing
35,8750,38.75,0.43,15.75,0.83,6.0,0.0,standing
36,9000,39.0,0.0,14.5,0.87,9.0,0.0,standing
37,9250,39.5,0.5,11.5,0.87,9.25,0.43,standing
38,9500,38.0,1.0,12.0,0.0,9.67,0.47,standing
39,9750,37.75,0.83,14.75,2.28,8.25,2.38,standing
40,10000,37.67,1.25,17.75,0.43,5.0,2.83,standing
41,10250,38.0,1.0,17.5,0.5,2.25,1.09,standing
42,10500,40.0,1.58,17.0,0.71,8.0,2.35,standing
43,10750,42.67,0.47,17.67,0.47,10.5,1.12,standing
44,11000,42.25,0.43,18.0,0.0,11.25,0.83,standing
45,11250,42.0,0.0,17.75,0.43,10.0,0.71,standing
46,11500,42.0,0.0,17.5,0.87,11.5,0.5,standing
47,11750,42.0,0.0,15.75,0.83,11.0,0.71,standing
48,12000,42.75,0.83,15.25,0.43,11.0,1.87,standing
49,12250,42.25,0.43,14.25,0.83,12.0,0.0,standing
50,12500,42.0,0.0,15.0,0.0,7.33,1.89,standing
51,12750,41.5,0.5,14.0,0.71,3.0,0.0,standing
52,13000,41.67,0.47,14.25,0.83,11.0,1.63,standing
53,13250,41.5,0.5,16.25,0.83,9.75,1.79,standing
54,13500,42.75,0.83,14.67,0.47,9.33,1.25,standing
55,13750,42.33,0.47,17.67,0.47,10.0,1.22,standing
56,14000,42.25,0.43,15.75,0.83,7.25,1.09,standing
57,14250,42.25,0.43,14.25,0.43,7.5,2.18,standing
58,14500,42.0,0.0,12.5,0.5,8.5,0.87,standing
59,14750,42.0,0.0,15.0,1.22,8.5,0.87,standing
60,15000,42.0,0.0,15.5,0.5,7.75,1.09,standing
61,15250,42.25,0.43,16.0,1.22,9.0,2.55,standing
62,15500,42.0,0.0,12.67,0.94,10.33,0.94,standing
63,15750,42.0,0.0,10.67,1.25,11.0,1.41,standing
64,16000,42.5,0.5,11.25,0.83,11.75,1.79,standing
65,16250,43.67,0.47,13.75,0.83,10.0,0.82,standing
66,16500,41.75,0.43,16.25,0.43,9.25,1.09,standing
67,16750,40.5,0.5,17.25,0.83,7.0,1.0,standing
68,17000,40.0,0.82,16.67,0.94,8.25,1.48,standing
69,17250,40.25,0.83,15.5,0.87,9.25,0.43,standing
70,17500,41.0,0.71,15.5,0.87,9.25,0.43,standing
71,17750,41.5,0.5,15.25,0.43,9.75,1.09,standing
72,18000,42.0,0.0,17.5,0.87,7.75,2.28,standing
73,18250,41.5,0.5,16.25,1.3,4.67,1.7,standing
74,18500,41.75,0.43,13.0,1.41,10.0,1.63,standing
75,18750,41.67,0.47,11.25,0.83,9.0,0.82,standing
76,19000,41.25,0.83,11.5,0.5,8.0,0.0,standing
77,19250,41.5,0.5,12.0,0.71,7.25,1.3,standing
78,19500,41.0,0.82,14.67,1.25,8.25,1.3,standing
79,19750,41.5,0.5,17.25,0.83,7.5,0.87,standing
80,20000,41.75,0.43,18.0,0.0,11.25,1.3,standing
81,20250,42.0,0.0,17.0,1.0,9.75,1.3,standing
82,20500,42.0,0.0,16.25,0.83,10.0,1.0,standing
83,20750,42.0,0.0,14.75,0.43,9.75,0.83,standing
84,21000,42.0,0.0,15.0,0.0,10.0,1.0,standing
85,21250,42.0,0.0,15.0,0.0,11.5,1.12,standing
86,21500,42.25,0.43,16.67,0.47,12.67,0.94,standing
87,21750,42.0,0.0,17.6,0.49,12.4,0.8,standing
88,22000,41.75,0.43,18.0,0.0,12.0,0.82,standing
89,22250,41.5,0.5,15.75,1.3,12.0,0.71,standing
90,22500,41.5,0.5,14.5,0.5,9.5,0.87,standing
91,22750,41.67,0.47,14.0,1.22,9.33,0.47,standing
92,23000,41.5,0.5,13.25,1.3,11.5,1.8,standing
93,23250,40.0,0.71,12.0,0.0,12.0,0.0,standing
94,23500,38.0,1.41,15.67,1.7,10.25,2.49,standing
95,23750,36.75,0.83,17.5,0.5,4.67,1.7,standing
96,24000,37.0,1.0,17.0,0.71,10.0,0.0,standing
97,24250,37.0,1.0,15.25,1.09,5.0,1.63,standing
98,24500,37.0,1.0,15.0,0.0,4.0,1.0,standing
99,24750,38.25,0.83,15.25,0.43,6.0,1.41,standing
100,25000,41.0,1.22,17.25,0.83,9.25,0.43,standing
101,25250,43.25,0.43,19.0,0.71,12.75,0.83,standing
102,25500,44.0,0.82,19.5,0.5,13.67,1.25,standing
103,25750,44.25,0.43,18.25,0.43,14.5,0.5,standing
104,26000,44.5,0.5,19.25,0.83,12.75,0.83,standing
105,26250,44.0,0.82,18.67,0.94,11.75,0.43,standing
106,26500,43.5,0.5,18.25,0.43,8.0,1.58,standing
107,26750,43.0,0.71,18.0,0.0,5.0,1.58,standing
108,27000,42.5,0.5,17.75,0.43,7.25,1.09,standing
109,27250,42.75,0.43,18.75,0.83,6.25,1.64,standing
110,27500,44.25,0.83,18.0,0.0,11.0,1.41,standing
111,27750,44.75,0.43,18.25,0.43,12.25,0.43,standing
112,28000,45.0,0.0,17.5,0.5,11.75,0.43,standing
113,28250,45.0,0.0,18.0,0.0,11.0,1.22,standing
114,28500,45.0,0.0,18.0,0.0,11.67,0.47,standing
115,28750,44.75,0.43,18.33,0.47,12.33,0.47,standing
116,29000,44.5,0.5,17.25,0.83,8.25,1.48,standing
117,29250,45.0,0.0,16.0,0.82,7.0,0.0,standing
118,29500,44.5,0.5,16.25,0.83,7.5,1.5,standing
119,29750,45.0,0.0,16.5,1.12,8.25,0.43,standing
120,30000,45.0,0.0,18.0,0.0,9.25,0.83,standing
121,30250,45.0,0.0,18.0,0.0,10.75,1.79,standing
122,30500,44.75,0.43,18.0,0.0,12.0,0.0,standing
123,30750,45.0,0.0,18.75,0.83,10.75,0.83,standing
124,31000,45.0,0.0,18.0,0.0,10.75,1.3,standing
125,31250,45.0,0.0,18.5,0.5,12.0,0.0,standing
126,31500,44.75,0.43,18.0,0.0,11.33,0.47,standing
127,31750,45.0,0.0,18.0,0.0,10.0,0.71,standing
128,32000,44.67,0.47,18.0,0.0,8.33,0.43,standing
129,32250,45.0,0.0,17.75,0.43,10.0,0.82,standing
