,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,39.0,6.48,12.67,0.94,17.67,1.25,walking
1,250,31.75,2.49,16.25,5.31,17.0,2.24,walking
2,500,34.0,2.83,16.33,3.4,16.33,1.25,walking
3,750,38.5,6.06,18.0,2.12,14.25,3.56,walking
4,1000,28.0,4.06,17.5,1.8,19.5,2.06,walking
5,1250,32.0,7.65,11.5,3.57,16.0,3.24,walking
6,1500,41.75,2.17,17.0,2.83,12.5,2.6,walking
7,1750,38.75,3.27,17.0,1.41,14.75,1.79,walking
8,2000,40.75,1.48,12.25,2.17,17.5,3.5,walking
9,2250,30.0,5.61,14.0,4.32,18.0,4.74,walking
10,2500,25.5,6.18,11.5,5.12,14.33,4.78,walking
11,2750,36.75,5.36,17.0,1.41,12.0,5.39,walking
12,3000,34.75,3.49,13.5,1.5,11.33,3.4,walking
13,3250,35.5,5.94,21.33,0.47,17.67,6.18,walking
14,3500,37.67,6.6,17.25,3.56,21.67,2.62,walking
15,3750,30.0,0.0,13.0,3.67,9.67,3.4,walking
16,4000,29.0,6.53,17.33,1.7,9.25,5.93,walking
17,4250,38.0,8.31,14.5,4.5,14.5,3.77,walking
18,4500,35.5,2.18,13.75,1.92,11.75,0.43,walking
19,4750,38.25,0.83,12.25,1.48,17.25,6.18,walking
20,5000,38.75,5.54,16.25,2.05,16.75,4.6,walking
21,5250,28.25,2.38,17.5,3.35,17.5,1.5,walking
22,5500,27.0,7.65,14.5,3.35,17.0,5.39,walking
23,5750,36.75,6.5,20.67,2.05,17.5,3.57,walking
24,6000,31.25,7.08,16.75,1.3,19.5,2.96,walking
25,6250,35.5,7.76,11.0,3.74,19.0,1.41,walking
26,6500,36.33,6.18,10.25,5.54,16.25,5.02,walking
27,6750,27.33,3.4,18.0,3.74,16.5,2.5,walking
28,7000,31.5,4.03,19.0,2.12,17.75,2.17,walking
29,7250,34.8,1.94,17.25,1.3,15.6,4.18,walking
30,7500,37.0,1.41,12.25,7.36,7.67,1.7,walking
31,7750,40.25,3.27,15.75,1.92,16.25,2.49,walking
32,8000,29.0,5.1,19.25,1.79,12.33,0.94,walking
33,8250,24.33,3.68,14.67,4.71,18.5,2.18,walking
34,8500,39.0,3.54,17.75,3.63,18.75,2.59,walking
35,8750,35.5,1.5,14.5,4.77,16.0,2.45,walking
36,9000,34.0,5.24,14.0,3.67,14.5,2.29,walking
37,9250,35.5,7.3,18.0,2.12,13.5,2.96,walking
38,9500,34.5,1.5,18.0,1.87,14.0,7.25,walking
39,9750,27.67,1.89,10.0,2.94,12.75,7.15,walking
40,10000,36.75,5.76,15.5,4.97,15.75,7.76,walking
41,10250,31.5,3.64,17.25,7.15,12.25,5.17,walking
42,10500,35.0,2.12,22.25,1.48,18.0,2.83,walking
43,10750,37.25,7.26,10.25,2.77,19.0,1.22,walking
44,11000,33.0,2.12,12.25,3.19,23.0,2.74,walking
45,11250,34.75,6.02,18.0,2.12,12.75,4.97,walking
46,11500,44.5,1.8,17.75,3.9,18.25,5.36,walking
47,11750,38.75,2.77,17.67,2.87,19.67,0.94,walking
48,12000,32.5,6.18,20.8,1.94,17.75,3.49,walking
49,12250,30.25,6.72,18.67,0.47,16.0,4.32,walking
50,12500,31.0,2.16,17.0,2.35,9.0,8.64,walking
51,12750,34.33,2.36,16.67,2.49,16.0,9.19,walking
52,13000,36.0,2.45,11.0,7.12,18.75,2.59,walking
53,13250,33.0,5.79,16.0,4.85,18.75,1.48,walking
54,13500,37.67,3.68,17.67,2.05,18.75,4.97,walking
55,13750,31.0,1.41,11.67,3.3,18.0,2.12,walking
56,14000,21.5,5.68,13.0,4.06,13.5,3.35,walking
57,14250,34.0,4.58,12.0,3.94,14.0,3.08,walking
58,14500,36.0,5.61,12.25,4.6,15.25,2.77,walking
59,14750,32.25,5.36,15.0,3.32,21.25,1.09,walking
60,15000,36.75,5.67,20.0,1.87,20.25,2.49,walking
61,15250,36.5,2.87,10.0,5.34,13.0,5.15,walking
62,15500,28.33,1.89,14.33,4.11,15.5,0.5,walking
63,15750,33.8,5.11,11.5,3.84,11.5,3.25,walking
64,16000,33.25,1.64,10.5,5.59,13.75,2.77,walking
65,16250,34.0,2.35,15.5,2.5,16.0,5.1,walking
66,16500,35.5,10.71,11.67,1.89,19.0,2.16,walking
67,16750,29.0,5.34,18.33,3.09,21.0,0.0,walking
68,17000,28.5,6.18,15.5,4.82,16.5,2.29,walking
69,17250,40.75,3.27,17.0,1.22,17.0,1.22,walking
70,17500,37.0,1.41,17.5,3.64,13.67,1.25,walking
71,17750,39.0,3.0,18.0,2.83,19.0,2.83,walking
72,18000,36.5,6.8,17.5,2.6,17.5,2.69,walking
73,18250,34.25,3.34,12.6,5.5,21.0,6.42,walking
74,18500,30.75,6.18,19.75,1.64,20.0,5.34,walking
75,18750,37.5,2.6,15.33,2.49,11.0,4.0,walking
76,19000,33.67,0.94,14.75,2.17,14.0,1.41,walking
77,19250,33.5,4.09,16.75,2.68,14.0,2.74,walking
78,19500,36.0,6.53,10.67,5.44,11.0,3.94,walking
79,19750,32.5,2.29,15.5,2.87,20.75,0.43,walking
80,20000,23.75,8.38,13.75,2.05,16.5,2.18,walking
81,20250,37.25,6.72,14.0,4.36,12.5,4.82,walking
82,20500,31.5,2.69,13.25,1.92,15.25,2.59,walking
83,20750,39.25,2.77,19.25,2.59,13.25,3.27,walking
84,21000,40.25,4.44,19.5,1.66,13.5,4.97,walking
85,21250,32.5,2.87,12.67,6.85,17.33,0.47,walking
86,21500,35.5,4.72,14.5,3.2,18.0,3.0,walking
87,21750,40.0,2.35,14.75,3.27,17.0,3.0,walking
88,22000,36.33,0.47,17.75,3.27,18.0,0.82,walking
89,22250,36.67,5.56,14.67,2.05,17.25,4.09,walking
90,22500,39.75,5.36,9.0,1.87,15.0,5.74,walking
91,22750,28.75,3.03,14.25,3.77,19.25,2.28,walking
92,23000,26.25,6.26,13.5,6.34,15.25,1.79,walking
93,23250,38.0,2.45,13.5,2.06,13.5,4.15,walking
94,23500,34.5,2.6,17.25,1.48,19.67,3.09,walking
95,23750,36.75,0.83,12.25,4.55,12.75,6.42,walking
96,24000,32.0,8.92,15.67,3.86,20.0,0.82,walking
97,24250,27.0,4.24,15.0,2.83,10.0,3.54,walking
98,24500,37.0,5.05,18.75,1.3,14.75,2.77,walking
99,24750,37.5,5.68,17.0,5.35,6.33,2.05,walking
100,25000,32.75,3.34,13.25,2.38,11.5,2.29,walking
101,25250,36.0,2.45,20.75,2.17,15.33,2.05,walking
102,25500,29.75,0.43,12.0,2.12,11.67,2.49,walking
103,25750,25.33,2.36,19.0,1.41,13.25,3.96,walking
104,26000,31.25,5.85,16.0,5.87,19.0,3.16,walking
105,26250,35.75,3.9,11.5,6.02,17.25,3.34,walking
106,26500,33.5,1.5,18.5,2.87,14.25,3.34,walking
107,26750,37.75,5.07,12.75,3.27,16.75,5.02,walking
108,27000,35.5,6.18,22.25,1.09,17.5,4.61,walking
109,27250,24.25,7.36,15.5,3.2,17.25,2.49,walking
110,27500,37.0,4.58,17.0,2.83,14.0,2.74,walking
111,27750,33.75,6.02,16.33,3.4,17.0,7.25,walking
112,28000,29.5,5.55,20.75,5.07,17.0,2.12,walking
113,28250,43.25,2.77,12.75,6.38,15.0,3.67,walking
114,28500,33.5,8.67,18.25,3.11,18.75,2.49,walking
115,28750,31.5,2.96,17.0,2.55,15.0,6.12,walking
116,29000,38.5,3.91,19.0,4.06,20.0,2.35,walking
117,29250,38.0,2.45,15.25,8.32,13.75,3.03,walking
118,29500,39.0,1.87,18.5,2.96,18.33,4.5,walking
119,29750,40.75,5.67,14.5,0.87,22.5,1.5,walking
120,30000,42.5,3.77,13.33,4.99,18.0,2.16,walking
121,30250,42.5,2.29,15.67,3.09,16.67,3.68,walking
122,30500,45.67,1.7,19.75,1.09,12.0,6.53,walking
123,30750,36.75,0.83,15.25,2.95,16.5,1.5,walking
124,31000,33.0,5.61,17.75,1.79,15.5,2.96,walking
125,31250,38.0,2.83,16.67,2.36,17.75,3.83,walking
126,31500,28.33,0.94,13.0,3.56,21.0,0.71,walking
127,31750,32.75,5.36,17.5,3.64,21.0,1.87,walking
128,32000,37.25,12.07,14.75,5.63,18.5,3.84,walking
129,32250,31.5,5.32,15.25,0.43,13.0,4.64,walking
130,32500,29.75,8.1,14.75,4.09,10.5,6.18,walking
131,32750,37.0,8.22,12.5,2.29,16.75,3.63,walking
132,33000,29.75,2.49,10.33,2.36,17.25,3.34,walking
133,33250,32.75,2.49,13.0,3.56,13.33,4.64,walking
134,33500,37.25,3.27,15.0,3.94,7.25,2.49,walking
135,33750,30.5,3.28,18.0,3.67,18.25,1.79,walking
136,34000,36.0,6.71,18.75,2.28,14.25,4.44,walking
137,34250,36.25,4.55,12.5,6.34,10.75,3.83,walking
138,34500,29.0,4.24,11.25,3.7,13.0,2.74,walking
139,34750,32.5,4.03,17.0,2.74,18.5,2.96,walking
140,35000,33.33,2.05,13.75,6.22,8.33,5.44,walking
141,35250,35.25,5.45,17.0,1.58,15.33,2.49,walking
142,35500,38.25,6.83,13.25,3.7,17.5,4.5,walking
143,35750,33.0,2.94,14.33,5.19,18.33,2.36,walking
144,36000,23.0,2.83,12.5,6.5,18.0,0.0,walking
145,36250,27.0,0.0,9.0,0.0,18.0,0.0,walking
146,36500,38.36,2.31,17.55,2.87,18.58,3.17,walking
147,36750,38.36,2.31,17.55,2.87,18.58,3.17,walking
148,37000,35.25,3.9,13.0,6.16,13.0,4.58,walking
149,37250,30.0,0.71,14.75,4.6,22.0,8.03,walking
150,37500,33.0,2.12,18.0,3.08,18.25,1.64,walking
151,37750,36.5,10.97,14.5,5.32,15.75,3.96,walking
152,38000,36.75,2.49,19.0,2.74,19.25,1.48,walking
153,38250,38.25,1.3,16.0,4.06,12.25,5.67,walking
154,38500,32.25,7.4,13.25,4.02,17.25,4.66,walking
155,38750,26.5,8.17,16.5,1.5,13.25,4.55,walking
156,39000,33.0,2.45,14.5,2.29,17.33,3.3,walking
157,39250,39.75,4.92,12.75,2.49,14.75,2.05,walking
158,39500,35.5,2.87,13.0,3.56,17.33,0.94,walking
159,39750,38.5,5.41,16.0,1.22,15.0,3.0,walking
160,40000,33.75,3.9,15.0,3.08,20.0,1.41,walking
161,40250,30.25,3.49,18.25,2.77,17.25,2.28,walking
162,40500,40.5,3.91,17.25,1.92,19.5,2.87,walking
163,40750,35.67,2.05,15.5,3.2,8.67,5.31,walking
164,41000,38.75,1.79,16.25,3.9,18.75,2.28,walking
165,41250,37.0,5.87,15.5,3.91,13.0,5.66,walking
166,41500,35.0,2.94,20.0,2.0,18.0,1.87,walking
167,41750,33.0,6.48,16.0,2.16,17.5,3.77,walking
168,42000,39.0,4.74,15.25,5.76,15.0,2.55,walking
169,42250,38.5,0.5,21.75,2.86,12.5,2.69,walking
170,42500,32.67,4.71,14.0,1.63,19.0,3.81,walking
171,42750,37.5,11.72,15.5,1.5,17.25,3.27,walking
172,43000,29.25,1.79,15.25,2.95,9.67,3.3,walking
173,43250,27.75,6.18,16.0,3.67,17.5,3.35,walking
174,43500,40.5,5.02,17.33,3.09,18.0,2.45,walking
175,43750,33.0,5.79,14.0,3.39,12.25,3.03,walking
176,44000,34.33,8.06,16.0,4.74,8.0,4.97,walking
177,44250,38.67,4.03,9.75,3.11,16.33,4.11,walking
178,44500,32.67,0.47,14.0,1.41,17.5,2.18,walking
179,44750,30.67,4.99,21.33,3.09,19.5,3.84,walking
180,45000,41.25,4.15,17.25,4.97,20.0,1.73,walking
181,45250,36.75,1.3,14.5,5.41,18.5,3.35,walking
182,45500,37.0,4.06,19.0,2.74,11.75,6.02,walking
183,45750,41.5,4.27,20.0,0.71,20.25,1.92,walking
184,46000,30.25,4.26,14.0,1.22,16.67,5.44,walking
185,46250,30.25,4.6,18.0,2.24,18.25,5.45,walking
186,46500,37.75,7.5,15.5,2.5,17.5,2.29,walking
187,46750,35.75,1.79,18.25,2.17,19.75,1.79,walking
188,47000,39.0,1.87,20.75,3.83,11.75,2.68,walking
189,47250,41.0,3.61,17.75,2.17,14.75,5.58,walking
190,47500,32.0,3.24,20.75,3.49,21.75,1.48,walking
191,47750,37.5,4.97,16.75,3.63,16.5,3.35,walking
192,48000,41.0,4.06,18.0,4.58,12.5,1.66,walking
193,48250,38.5,2.29,18.5,2.69,14.5,2.87,walking
194,48500,35.75,7.15,14.25,3.49,15.5,3.91,walking
195,48750,35.75,7.56,17.5,3.57,13.5,6.69,walking
196,49000,33.0,3.0,17.25,1.3,15.5,3.57,walking
197,49250,39.75,4.32,18.5,3.28,16.0,1.22,walking
198,49500,38.25,0.83,12.33,5.31,9.25,3.19,walking
199,49750,34.25,6.5,21.0,0.0,14.33,5.73,walking
200,50000,39.0,4.95,16.4,3.32,13.75,4.02,walking
201,50250,35.5,6.18,13.67,1.25,19.0,5.1,walking
202,50500,30.0,0.0,13.5,1.5,11.0,0.0,walking
203,50750,31.71,12.21,18.83,2.67,16.14,6.64,walking
204,51000,37.75,1.3,14.5,2.18,13.0,3.94,walking
205,51250,36.25,2.17,18.33,3.68,18.67,2.62,walking
206,51500,40.25,4.44,11.67,2.05,13.5,1.5,walking
207,51750,35.0,2.83,15.0,3.08,15.33,4.19,walking
208,52000,25.67,5.31,17.67,1.25,15.33,0.47,walking
209,52250,33.25,8.44,12.5,3.84,19.0,2.45,walking
210,52500,35.0,2.74,14.75,2.17,19.5,2.06,walking
211,52750,28.75,5.07,14.75,1.79,12.5,8.02,walking
212,53000,38.67,0.47,13.0,4.55,18.75,2.59,walking
213,53250,34.5,6.54,16.0,2.74,15.0,4.95,walking
214,53500,30.75,2.17,15.25,2.17,20.25,3.27,walking
215,53750,37.0,5.48,12.25,7.56,16.75,2.68,walking
216,54000,38.75,4.76,12.0,5.61,14.75,4.26,walking
217,54250,36.75,1.3,12.33,4.5,15.0,3.0,walking
218,54500,38.75,4.6,15.0,2.55,15.0,2.12,walking
219,54750,34.75,7.26,12.0,5.39,19.25,3.49,walking
220,55000,31.75,3.7,19.33,3.4,11.33,2.36,walking
221,55250,35.0,6.16,12.0,3.08,20.0,1.41,walking
222,55500,38.0,1.63,14.25,4.92,16.33,2.36,walking
223,55750,35.0,4.0,18.33,5.25,15.0,2.45,walking
224,56000,36.6,3.01,22.2,2.23,18.75,2.28,walking
225,56250,36.67,4.11,17.33,1.7,15.75,6.53,walking
226,56500,34.25,1.92,12.25,2.17,15.0,4.95,walking
227,56750,39.5,4.5,18.75,2.49,14.75,6.57,walking
228,57000,41.0,1.22,16.5,4.72,11.25,1.92,walking
229,57250,38.75,2.77,15.33,4.5,13.5,2.69,walking
230,57500,36.0,7.78,13.5,2.96,12.25,0.83,walking
231,57750,36.25,5.36,11.67,2.05,15.0,4.74,walking
232,58000,27.5,4.27,14.25,2.59,20.0,3.16,walking
233,58250,41.0,3.24,12.0,2.55,8.5,4.72,walking
234,58500,37.25,1.64,15.75,3.77,12.5,2.5,walking
235,58750,36.25,3.83,13.67,1.7,19.0,2.94,walking
236,59000,38.75,5.12,19.67,1.89,7.67,6.24,walking
237,59250,36.75,2.86,18.25,1.79,16.33,5.19,walking
238,59500,27.0,4.9,15.0,2.55,14.0,1.63,walking
239,59750,35.33,8.26,16.0,3.27,15.0,1.63,walking
240,60000,40.75,3.03,19.0,2.45,13.25,4.21,walking
241,60250,38.0,3.67,12.5,6.1,13.25,1.48,walking
242,60500,42.0,3.67,12.5,4.77,15.5,3.91,walking
243,60750,36.25,6.72,11.75,4.71,20.5,1.66,walking
244,61000,28.0,3.81,16.25,3.11,17.75,1.09,walking
245,61250,30.25,7.63,19.75,2.49,10.0,3.24,walking
246,61500,36.75,1.3,15.75,3.7,8.25,1.48,walking
247,61750,33.67,3.77,15.33,4.03,18.33,2.05,walking
248,62000,38.25,3.11,13.0,1.41,14.33,1.7,walking
249,62250,32.0,1.22,15.25,2.77,16.75,1.3,walking
250,62500,27.75,2.59,10.75,2.17,17.75,4.66,walking
251,62750,37.5,5.41,10.25,7.01,12.25,3.27,walking
252,63000,37.0,1.41,14.75,3.27,15.67,2.87,walking
253,63250,33.0,0.0,15.33,2.49,15.0,2.12,walking
254,63500,38.5,4.33,15.75,1.48,15.25,5.72,walking
255,63750,36.75,6.83,12.75,4.6,19.25,0.83,walking
256,64000,27.75,5.12,17.75,4.71,15.0,5.24,walking
257,64250,35.75,4.87,18.5,1.5,19.5,2.06,walking
